Key,SourceString,Context
"BuildingCategory_Name_Roofs64","Крыша из листьев 64°",""
"BuildingCategory_Name_Roofs64_T2","Roofs 64° Т2",""
"BuildingCategory_Name_Beams","NOT USEDSticks",""
"BuildingCategory_Name_Beams_T2","NOT USEDLumber beams",""
"BuildingCategory_Name_Building","Building","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_Craft","Crafting & Utilities","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_Decorations","Decorations","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_ComboElements","Prebuilt Structures","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_WallsAndWindows","Wall",""
"BuildingCategory_Name_WallsAndWindows_T2","NOT USEDLumber windows and doors",""
"BuildingCategory_Name_Windows","NOT USEDWindows Т1",""
"BuildingCategory_Name_Windows_T2","NOT USEDWindows Т2",""
"BuildingCategory_Name_Doors","NOT USEDDoors",""
"BuildingCategory_Name_Doors_T2","NOT USEDDoors Т2",""
"BuildingCategory_Name_FloorsAndStairs","Floors and stairs",""
"BuildingCategory_Name_FloorsAndStairs_T2","NOT USEDFloors Т2",""
"BuildingCategory_Name_Stairs","NOT USEDStairs Т1",""
"BuildingCategory_Name_Roofs45","NOT USEDLeaves roofs 45°",""
"BuildingCategory_Name_Roofs45_T2","NOT USEDRoofs 45° Т2",""
"BuildingCategory_Name_Roofs26","NOT USEDLeaves roofs 26°",""
"BuildingCategory_Name_Roofs26_T2","NOT USEDRoofs 26° Т2",""
"BuildingCategory_Name_Cooking","Cooking",""
"BuildingCategory_Name_Workbenches","Workbench",""
"BuildingCategory_Name_Alchemy","Alchemy",""
"BuildingCategory_Name_WeaponsmithTables","Weaponsmith tables",""
"BuildingCategory_Name_ResourceProcessing","Resource processing",""
"BuildingCategory_Name_Lighting","Lighting",""
"BuildingCategory_Name_Chandeliers","Chandeliers",""
"BuildingCategory_Name_Trophies","Trophies",""
"BuildingCategory_Name_Furniture","Furniture",""
"BuildingCategory_Name_Artisan","Artisan",""
"BuildingCategory_Name_Misc","Miscellaneous",""
"BuildingCategory_Name_Fireplaces","Fireplaces",""
"BuildingCategory_Name_FramedPaintings","Paintings",""
"BuildingCategory_Name_SeaCrafts","NOT USEDSea crafts",""
"BuildingCategory_Name_Seats","Seating",""
"BuildingCategory_Name_Tables","Tables",""
"BuildingCategory_Name_Shelves","Shelves",""
"BuildingCategory_Name_Wardrobe","Wardrobes",""
"BuildingCategory_Name_Canopies","Canopies",""
"BuildingCategory_Name_Pier","Pier",""
"BuildingCategory_Name_IronLightings","Fine lighting",""
"BuildingCategory_Name_Dishes","Dishes",""
"BuildingCategory_Name_Kitchen","Food displays",""
"BuildingCategory_Name_Supplies","Supplies",""
"BuildingCategory_Name_ShellDecorations","Shell decorations",""
"BuildingCategory_Name_Books","Books",""
"BuildingCategory_Name_Banners","Banners",""
"BuildingCategory_Name_Military","Military",""
"BuildingCategory_Name_Statues","Statues",""
"BuildingCategory_Name_Miniatures","Ship Models",""
"BuildingCategory_Name_Garden","Trees and Bushes",""
"BuildingCategory_Name_HuntingAndFishing","NOT USEDHunting and fishing",""
"BuildingCategory_Name_PortStructures","NOT USEDPort structures",""
"BuildingCategory_Name_ClothAndArmor","NOT USEDCloth and armor",""
"BuildingCategory_Name_EquipmentUpgrade","NOT USEDEquipment upgrade",""
"BuildingCategory_Name_LogWallPrototype","NOT USEDLog wall prototype","wat???"
"BuildingCategory_Name_Farming","Farming","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_Roof26_T03","NOT USEDTier III Roofs 26°",""
"BuildingCategory_Name_Roof45_T03","NOT USEDTier III Roofs 45°",""
"BuildingCategory_Name_Roof64_T03","NOT USEDTier III Roofs 64°",""
"BuildingCategory_Name_Craftstations_T01","NOT USEDTier I",""
"BuildingCategory_Name_Craftstations_T02","NOT USEDTier II",""
"BuildingCategory_Name_Craftstations_T03","NOT USEDTier III",""
"BuildingCategory_Name_Craftstations_Refining","Refining",""
"BuildingCategory_Name_Bits_T01","NOT USEDTier I",""
"BuildingCategory_Name_Bits_T02","NOT USEDTier II",""
"BuildingCategory_Name_Bits_T03","NOT USEDTier III",""
"BuildingCategory_Name_StorageAndBed","Storage and Beds",""
"BuildingCategory_Name_Storage","Storage",""
"BuildingCategory_Name_Bedroll","Beds",""
"BuildingCategory_Name_Useful","Utilities","15 characters length recommended, in rare cases up to 20"
"BuildingCategory_Name_Crafting","Crafting",""
"BuildingCategory_Name_FloorsAndWalls","Floors and Walls",""
"BuildingCategory_Name_FloorsAndWalls_WallsOfLeavesAndWood","Walls: 45°",""
"BuildingCategory_Name_FloorsAndWalls_SpecialWall","Walls: Special",""
"BuildingCategory_Name_FloorsAndWalls_StoneWalls","Walls: 26°",""
"BuildingCategory_Name_FloorsAndWalls_ClayWalls","Walls: 64°",""
"BuildingCategory_Name_FloorsAndWalls_PlasteredWalls","Walls: 13°",""
"BuildingCategory_Name_FloorsAndWalls_Archs","Archs",""
"BuildingCategory_Name_RoofsAndPillars","Roofs",""
"BuildingCategory_Name_RoofsAndPillars_Roofs45","Roofs 45°: All pieces",""
"BuildingCategory_Name_RoofsAndPillars_Roofs26","Roofs 26°: Flats",""
"BuildingCategory_Name_RoofsAndPillars_Roofs64","Roofs 64°: All pieces",""
"BuildingCategory_Name_RoofsAndPillars_RoofsCorners26","Roof 26°: Rooftops & Corners",""
"BuildingCategory_Name_RoofsAndPillars_RoofsOther26","Roofs 26°: Other",""
"BuildingCategory_Name_RoofsAndPillars_RoofTops26","Roofs 26°: Rooftops",""
"BuildingCategory_Name_RoofsAndPillars_Roofs13","Roofs 13°: All pieces",""
"BuildingCategory_Name_PillarsAndBeams","Pillars and Beams",""
"BuildingCategory_Name_Pillars","Pillars",""
"BuildingCategory_Name_HorizontalBeams","Horizontal Beams",""
"BuildingCategory_Name_PillarsAndBeams_Beam45","Beams 45°",""
"BuildingCategory_Name_PillarsAndBeams_Beam26","Beams 26°",""
"BuildingCategory_Name_PillarsAndBeams_Beam64","Beams 64°",""
"BuildingCategory_Name_PillarsAndBeams_Other","Other",""
"BuildingCategory_Name_WindowsAndDoors","Windows and Doors",""
