Key,SourceString,Context
"LoadingHint_1","Используйте микстуры лечения, чтобы мгновенно поправить здоровье в бою. Бинты тоже лечат, но действуют медленнее.","no more than 200 characters"
"LoadingHint_2","Stand near the bonfire in your base to gain the Rested buff which makes your Stamina recover faster. A well decorated and furnished base base makes this buff stronger.","no more than 200 characters"
"LoadingHint_3","Быстрая стройка (Drag build). После установки блока удерживайте ЛКМ и двигайте камеру в нужную сторону, чтобы автоматически продолжить строительство.","no more than 200 characters"
"LoadingHint_4","Поставив блок в нужный момент, можно выполнить парирование удара. Вы не теряете очки стойкости, а противник — теряет. (Perfect Block, Posture)","no more than 200 characters"
"LoadingHint_5","Корабль можно вызвать в любой момент кнопкой [K]. Держите в трюме еду, снадобья, бинты и немного строительных материалов, никогда не знаешь, что ждет на следующем острове.","no more than 200 characters"
"LoadingHint_6","Your ship gives you a Rested bonus as strong as the one from your most comfortable base.","no more than 200 characters"
"LoadingHint_7","Находясь на корабле или лодке, нажмите [M], чтобы открыть карту мира и переместиться к Колоколу быстрого перемещения.","no more than 200 characters"
"LoadingHint_8","Декорации повышают комфорт базы. Чем выше комфорт, тем быстрее восстанавливается выносливость во время путешествий. (Stamina)","no more than 200 characters"
"LoadingHint_9","Для стрельбы необходимы пули и порох.","no more than 200 characters"
"LoadingHint_10","Улучшайте броню и оружие — без улучшений будет сложно справляться с сильными противниками.","no more than 200 characters"
"LoadingHint_11","Не забывайте распределяйть очки талантов и характеристик после повышения уровня!. (Talent Points, Stat Points)","no more than 200 characters"
"LoadingHint_12","Чтобы взять корабль на абордаж, сначала замедлите его пушечным огнём.","no more than 200 characters"
"LoadingHint_13","Не хватает частей понравившегося набора брони? Купите рецепт на Тортуге и создайте его самостоятельно.","no more than 200 characters"
"LoadingHint_14","Чтобы менять оснастку корабля, необходимо находиться рядом с построенной вами верфью.","no more than 200 characters"
