Key,SourceString,Context
"Ship_Customization_HullCollor_Stock_Origin_Name","Волнорез",""
"Ship_Customization_HullCollor_Stock_Origin_Description","Стандартная краска для корабельного корпуса, которая замедляет гниение дерева и защищает от водорослей и ракушек.",""
"Ship_Customization_HullCollor_Stock_Altered_Name","Выдержанный дуб",""
"Ship_Customization_HullCollor_Stock_Altered_Description","Коричнево-бежевый оттенок напоминает древесину, пропитанную солнцем и морской солью.",""
"Ship_Customization_HullCollor_Stock_Aged_Name","Черный порох",""
"Ship_Customization_HullCollor_Stock_Aged_Description","Корпус такой темный, что кажется, будто в доски въелся запах дыма и пороха.",""
"Ship_Customization_HullCollor_Stock_Fresh_Name","Живой срез",""
"Ship_Customization_HullCollor_Stock_Fresh_Description","Светлая, почти золотистая краска, которая напоминает цвет свежесрубленного дерева. Корабль выглядит новым и готовым к первому бою.",""
"Ship_Customization_HullCollor_BlackBeard_Origin_Name","Аметистовый шквал",""
"Ship_Customization_HullCollor_BlackBeard_Origin_Description","Стандартная краска для кораблей Черной Бороды. Вместе с другими пиратскими атрибутами смотрится устрашающе.",""
"Ship_Customization_HullCollor_BlackBeard_Altered_Name","Буря на горизонте",""
"Ship_Customization_HullCollor_BlackBeard_Altered_Description","Ночью корпус сливается с темнотой, оставляя лишь призрачный контур. Идеально для внезапных атак под покровом ночи.",""
"Ship_Customization_HullCollor_BlackBeard_BogWood_Name","Чернила осьминога",""
"Ship_Customization_HullCollor_BlackBeard_BogWood_Description","Краска настолько темная и насыщенная, будто корпус был вымазан чернилами чудовищ из морских глубин.",""
"Ship_Customization_HullCollor_BlackBeard_Renewed_Name","Королевский пурпур",""
"Ship_Customization_HullCollor_BlackBeard_Renewed_Description","Редкая и дорогая краска, которую видно за мили. Для тех, кто открыто бросает вызов морю, врагам и даже империям.",""
"Ship_Customization_HullCollor_Brethren_Origin_Name","Кровь и вино",""
"Ship_Customization_HullCollor_Brethren_Origin_Description","Стандартная краска для кораблей Берегового Братства. То ли это пятна вина попали на доски, то ли въевшаяся кровь врагов.",""
"Ship_Customization_HullCollor_Brethren_Altered_Name","Багровый закат",""
"Ship_Customization_HullCollor_Brethren_Altered_Description","Насыщенная краска для корпуса кораблей Берегового Братства. Для выдающихся капитанов.",""
"Ship_Customization_HullCollor_Brethren_Crimson_Name","Алый рассвет",""
"Ship_Customization_HullCollor_Brethren_Crimson_Description","Алая краска, которую предпочитают капитаны Берегового Братства. Отлично отпугивает и врагов, и древоточцев.",""
"Ship_Customization_HullCollor_Brethren_Pale_Name","Утренняя заря",""
"Ship_Customization_HullCollor_Brethren_Pale_Description","Обманчиво светлый цвет для кораблей, идущих под флагами Берегового Братства.",""
"Ship_Customization_HullCollor_Buccaneers_Origin_Name","Янтарная смола",""
"Ship_Customization_HullCollor_Buccaneers_Origin_Description","Стандартная краска для кораблей буканьеров.",""
"Ship_Customization_HullCollor_Buccaneers_Bear_Name","Медвежья шерсть",""
"Ship_Customization_HullCollor_Buccaneers_Bear_Description","Сочетание красок, которое напоминает буканьерам о медведях с материка.",""
"Ship_Customization_HullCollor_Buccaneers_Boar_Name","Кабанья шкура",""
"Ship_Customization_HullCollor_Buccaneers_Boar_Description","Смесь черной и светло-оранжевой красок вдохновлена бегающими по джунглям кабанами.",""
"Ship_Customization_HullCollor_Buccaneers_Deer_Name","Олений мех",""
"Ship_Customization_HullCollor_Buccaneers_Deer_Description","По словам буканьеров, корабль с такой светлой окраской не трудно заметить, но трудно догнать.",""
"Ship_Customization_HullCollor_Smugglers_Origin_Name","Обманчивые воды",""
"Ship_Customization_HullCollor_Smugglers_Origin_Description","Стандартная краска для кораблей контрабандистов.",""
"Ship_Customization_HullCollor_Smugglers_Ashen_Name","Пепел и порох",""
