Key,SourceString,Context
"Dialogue_GameStart_1","Вы просыпаетесь на полу каюты от лязга сабель и грохота пушек. От головной боли мутит и слегка двоится в глазах.",""
"Dialogue_GameStart_2","Проверить затылок",""
"Dialogue_GameStart_3","Прямо на затылке красуется здоровенная шишка.",""
"Dialogue_GameStart_4","Последнее, что вы помните, как покачнулся пол под ногами из-за попавших в борт ядер.",""
"Dialogue_GameStart_5","Черт! На ваш корабль напали! Нужно срочно выбраться из каюты и понять, что происходит.",""
"Onboarding_Hint_1","Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_Slot1\""/>, чтобы экипировать саблю, и прорубите себе дорогу из каюты",""
"Onboarding_Hint_12","Сломайте баррикаду в проходе, чтобы пройти дальше.",""
"Onboarding_Hint_2","Поговорите с судовым врачом",""
"Onboarding_Hint_3","Впереди жаркий бой, а в глазах все еще двоится после контузии. Выпейте кофе, чтобы взбодриться.\r\nНажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_Slot2\""/>",""
"Onboarding_Hint_4","Идите дальше",""
"Onboarding_Hint_5","<T_BOLD>Убейте пирата</>\r\n\r\n<img width=\""desired\"" height=\""desired\"" id=\""Action_LightAttack\""/> – быстрый удар\r\n<img width=\""desired\"" height=\""desired\"" id=\""Action_HeavyAttack\""/> – сильный удар \r\n<img width=\""desired\"" height=\""desired\"" id=\""Action_TargetLock\""/> – захват цели",""
"Onboarding_Hint_6","Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_Slot3\""/>, чтобы воспользоватся бинтом",""
"Onboarding_Hint_7","<T_BOLD>Доступен свисток</>\r\n\r\nНажав <img width=\""desired\"" height=\""desired\"" id=\""Action_ShipSummon\""/>, можно вызвать судно.",""
"Onboarding_Hint_10","<T_BOLD>Заблокируйте 3 удара противников</>\r\n\r\n<img width=\""desired\"" height=\""desired\"" id=\""Action_Block\""/> – блок ",""
