Key,SourceString,Context
"AID_Ammo_Cannonball_RegularCannonball_T01_ItemDescription","TEST\r\nTESt",""
"AID_Ammo_Cannonball_RegularCannonball_T01_ItemName","Cannonballs",""
"AID_Ammo_Cannonball_RegularCannonball_T02_ItemDescription","TEST\r\nTESt",""
"AID_Ammo_Cannonball_RegularCannonball_T02_ItemName","BOMBA",""
"AID_Ammo_Cannonball_RegularCannonball_T03_ItemDescription","TEST\r\nTESt",""
"AID_Ammo_Cannonball_RegularCannonball_T03_ItemName","KNIPPEL",""
"AID_Ammo_FirearmProjectile_AncientMetal_T03_Effect1","Increases Critical Damage by {0}",""
"AID_Ammo_FirearmProjectile_AncientMetal_T03_Effect2","Very good ballistics",""
"AID_Ammo_FirearmProjectile_AncientMetal_T03_ItemDescription","Идеально сбалансированная и невероятно точная пуля. Благодаря магическим свойствам сплава, она, словно заговоренная, летит точно в цель.",""
"AID_Ammo_FirearmProjectile_AncientMetal_T03_ItemName","Bullet Arborum","Жуткая пуля"
"AID_Ammo_FirearmProjectile_FineMetal_T02_Effect2","Good ballistics",""
"AID_Ammo_FirearmProjectile_FineMetal_T02_Effect1","Increases Ranged Damage by {0}",""
"AID_Ammo_FirearmProjectile_FineMetal_T02_ItemDescription","Изготовленная из железа пуля с хорошей баллистикой. Куда выстрелил — туда и полетела.",""
"AID_Ammo_FirearmProjectile_FineMetal_T02_ItemName","Железная пуля",""
"AID_Ammo_FirearmProjectile_RoughMetal_T02_Effect1","Mediocre ballistics",""
"AID_Ammo_FirearmProjectile_RoughMetal_T02_ItemDescription","Самая обычная медная пуля. Гарантий, что полетит точно в цель, нет — но снаряд уже неплохой.",""
"AID_Ammo_FirearmProjectile_RoughMetal_T02_ItemName","Медная пуля",""
"AID_Ammo_FirearmProjectile_StoneBullet_T01_Effect1","Ranged Damage decreased by {0}",""
"AID_Ammo_FirearmProjectile_StoneBullet_T01_Effect2","Poor ballistics",""
"AID_Ammo_FirearmProjectile_StoneBullet_T01_ItemDescription","Кусок камня, очень отдаленно напоминающий пулю. Надежно попадать в цель можно только на коротких дистанциях.",""
"AID_Ammo_FirearmProjectile_StoneBullet_T01_ItemName","Каменная пуля",""
"AID_Ammo_Gunpowder_Homemade_T02_ItemDescription","Порох низкого качества, изготовленый \""в домашних условиях\"". Использовать с осторожностью.\r\nДелается на жерновах, из золы и серы.",""
"AID_Ammo_Gunpowder_Homemade_T02_ItemName","Кустарный порох",""
"AID_Ammo_ScallopPearl_T01_ItemDescription","Алхимический ингридиент. Впрочем, мелкий, круглый, прочный предмет может пригодиться где-нибудь еще.\r\nМожно найти, если открыть раковину гребешка.",""
"AID_Ammo_ScallopPearl_T01_ItemName","Жемчужина",""
"CID_Alchemy_Bandages_T01_Effect1","Restores {0} Health over time.",""
"CID_Alchemy_Bandages_T01_Effect2","Lasts for {1}s. Taking Damage interrupts the effect.",""
"CID_Alchemy_Bandages_T01_ItemDescription","Грубый лоскут материи, пропитанный морской водой.",""
"CID_Alchemy_Bandages_T01_ItemName","Бинт",""
"CID_Alchemy_Bandages_T01_VanityText","Эта тряпка поможет вам не истечь кровью. Оцените мои усилия и постарайтесь не умереть хотя бы до следующего порта. \r\n— доктор Гален Скелтон",""
"CID_Alchemy_Potion_GreatHealing_T01_Effect1","Instantly restores {0} Health.",""
"CID_Alchemy_Potion_GreatHealing_T01_ItemDescription","Восстанавливает силы и залечивает даже самые глубокие раны.",""
"CID_Alchemy_Potion_GreatHealing_T01_ItemName","Великая микстура лечения",""
"CID_Alchemy_Potion_GreatHealing_T01_VanityText","Говорят, эта микстура вытаскивает моряков прямо из рундука Дейви Джонса.",""
"CID_Alchemy_Potion_EnhancedHealing_T01_Effect1","Instantly restores {0} Health.",""
"CID_Alchemy_Potion_EnhancedHealing_T01_ItemDescription","Лечит раны и притупляет боль, позволяя продолжить бой с новыми силами.",""
"CID_Alchemy_Potion_EnhancedHealing_T01_ItemName","Средняя микстура лечения",""
"CID_Alchemy_Potion_EnhancedHealing_T01_VanityText","When death is looming, you have to use any means available. Just don't think about what it's made of.",""
"CID_Alchemy_Potion_Healing_T01_Effect1","Instantly restores {0} Health.",""
"CID_Alchemy_Potion_Healing_T01_ItemDescription","Быстро залечивает мелкие порезы и снимает боль, даруя силы для боя... или бегства.",""
"CID_Alchemy_Potion_Healing_T01_ItemName","Малая микстура лечения",""
"CID_Alchemy_Potion_Healing_T01_VanityText","Не стоит безоглядно доверять зельям. Постельный режим и покой для исцеления необходимы не меньше.\r\n— доктор Гален Скелтон",""
"CID_Alchemy_Potion_Recall_T01_Effect1","Returns you to the last revival point.",""
"CID_Alchemy_Potion_Recall_T01_ItemDescription","Легкий напиток со сладковатым вкусом. Жалко только, приготовить его непросто – нужны редкие ингредиенты.",""
"CID_Alchemy_Potion_Recall_T01_ItemName","Дорога домой",""
"CID_Alchemy_Potion_Recall_T01_VanityText","Мгновенное перемещение из ночного трактира в залитую потом кровать – магия, доступная только самым опытным чародеям Тортуги.",""
"CID_Food_Dough_BurritoBeans_T03_ItemDescription","Кукурузная лепешка с фасолью в томатном соусе.\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_BurritoBeans_T03_ItemName","Тако",""
"CID_Food_Dough_BurritoBeans_T03_VanityText","Капитан говорил, что если выпить бутылку рома и закусить тако, можно услышать пение сирен. Никто не смог убедить его, что дело не в закуске.\r\n— корабельный кок \""Одноглазый\"" Аксель",""
"CID_Food_Dough_BurritoMeat_T02_ItemDescription","Этот плотный сверток из нежной кукурузной лепешки наполнен рубленым мясом и специями.\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_BurritoMeat_T02_ItemName","Буррито",""
"CID_Food_Dough_BurritoMeat_T02_VanityText","Один укус – и морская буря покажется легким бризом.",""
"CID_Food_Dough_CornCasabe_T02_ItemDescription","Тонкая кукурузная лепешка. Полностью голод не утолит, но набьет брюхо.\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_CornCasabe_T02_ItemName","Тортилья",""
"CID_Food_Dough_CornCasabe_T02_VanityText","Не заметишь, как съешь целую гору и попросишь еще.",""
"CID_Food_Dough_Pastechi_T02_ItemDescription","Обжаренное кукурузное тесто с мясной начинкой внутри. Традиционная закуска на островах Аруба, Бонэйр и Кюрасао.\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_Pastechi_T02_ItemName","Пастечи",""
"CID_Food_Dough_Pastechi_T02_VanityText","На каждом корабле в каждом рейде обязательно найдется  идиот, который будет доказывать, что пастечи с картошкой лучше.\r\n— корабельный кок \""Одноглазый\"" Аксель",""
"CID_Food_Dough_Tamale_T03_ItemDescription","Кукурузное тесто с начинкой, обернутое кукурузными листьями и приготовленное на пару. Мясо крокодила делает блюдо особенно сытным.\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_Tamale_T03_ItemName","Тамале",""
"CID_Food_Dough_Tamale_T03_VanityText","Считается, что именно тамале гостеприимные индейцы предлагали попробовать прибывшим на запад конкистадорам. И, на свою беду, даже не добавили яду.",""
"CID_Food_Dough_WineMeat_T04_ItemDescription","Нежное мясо, томленное в винном соусе с томатами, словно добыча, отбитая у испанского галеона. Подается только тем, кто не боится облизать клинок!\r\n\r\nУвеличивает максимальное ХП\r\nДействует {0} минут",""
"CID_Food_Dough_WineMeat_T04_ItemName","Мясо в винном соусе с томатами",""
