Key,SourceString,Context
"Quest_SideQuest_CJ_DeadmanChest_Core_Name","Пятнадцать человек на сундук мертвеца",""
"Quest_SideQuest_CJ_DeadmanChest_Core_Description","Среди обломков на берегу лежал скелет пирата. В записке, которая валялась рядом, он упомянул закопанный сундук с золотом. ",""
"Quest_SideQuest_CJ_DeadmanChest_Core_Result","Пират убил свою команду, чтобы не делиться добычей. Кто же знал, что они вернутся с того света ради мести и своих сокровищ. Только мертвецам золото ни к чему.",""
"Quest_SideQuest_CJ_DeadmanChest_Sub1_Goal","Найти сундук пирата",""
"Quest_SideQuest_CJ_DeadmanChest_Sub1_Description","Пират был так любезен, что оставил в записке пометку о том, где спрятал сундук. Надо бы проверить это место.",""
"Quest_SideQuest_CJ_FearHasBigEyes_Core_Name","У страха глаза велики",""
"Quest_SideQuest_CJ_FearHasBigEyes_Core_Description","Ко мне попали страницы из дневника человека, который, как и я, потерпел крушение на острове и пытался выжить.",""
"Quest_SideQuest_CJ_FearHasBigEyes_Core_Result","Одиночество и страх сводят с ума. Вместе с вещами в сундуке были закопаны два тела. Скорее всего, это те люди, которых безумец упоминал в своем дневнике.",""
"Quest_SideQuest_CJ_FearHasBigEyes_Sub1_Goal","Узнать историю выживших",""
"Quest_SideQuest_CJ_FearHasBigEyes_Sub1_Description","Возможно, мне удастся узнать, что произошло с этими людьми.",""
"Quest_SideQuest_CJ_FearHasBigEyes_Sub2_Goal","Найти сундук сумасшедшего",""
"Quest_SideQuest_CJ_FearHasBigEyes_Sub2_Description","Где-то здесь он закопал свои вещи. Ему они больше не понадобятся, а вот мне могут пригодиться.",""
"Quest_Adventure_Research_CJ_AlchemyBig_Name","Базовая алхимия",""
"Quest_Adventure_Research_CJ_AlchemyBig_Notification_ItemFound","Key Discovery: Орхидея",""
"Quest_Adventure_Research_CJ_CopperBig_Name","Производство слитков и угля",""
"Quest_Adventure_Research_CJ_CopperBig_Notification_ItemFound","Key Discovery: Медная руда",""
"Quest_Adventure_Research_CJ_CopperIngotBig_Name","Одноручное оружие, медные инструменты и прочие изделия",""
"Quest_Adventure_Research_CJ_CopperIngotBig_Notification_ItemFound","Key Discovery: Медный слиток",""
"Quest_Adventure_Research_CJ_FastTravelBig_Name","Fast Travel Bell",""
"Quest_Adventure_Research_CJ_FastTravelBig_Notification_ItemFound","Key Discovery: Колокол быстрого перемещения",""
"Quest_Adventure_Research_CJ_LeatherBig_Name","Производство одежды и улучшеный рюкзак",""
"Quest_Adventure_Research_CJ_LeatherBig_Notification_ItemFound","Key Discovery: Грубая шкура",""
"Quest_Adventure_Research_HL_CornBig_Name","Производство муки и мучных блюд",""
"Quest_Adventure_Research_HL_CornBig_Notification_ItemFound","Key Discovery: Кукуруза",""
"Quest_Adventure_Research_HL_FarmingBig_Name","Фермерство",""
"Quest_Adventure_Research_HL_FarmingBig_Notification_ItemFound","Key Discovery: Плодородная почва",""
"Quest_Adventure_Research_HL_HardwoodBig_Name","Корабельные материалы, рыбалка и блюда из рыбы",""
"Quest_Adventure_Research_HL_HardwoodBig_Notification_ItemFound","Key Discovery: Твердая древесина",""
"Quest_Adventure_Research_HL_IronIngotBig_Name","Двуручное оружие, железные инструменты и прочие изделия",""
"Quest_Adventure_Research_HL_IronIngotBig_Notification_ItemFound","Key Discovery: Железная руда",""
"Quest_Adventure_Research_HL_JewelryBig_Name","Производство и улучшение бижутерии",""
"Quest_Adventure_Research_HL_JewelryBig_Notification_ItemFound","Key Discovery: Серебряный слиток",""
"Quest_Adventure_Research_HL_TanneryBig_Name","Дубление кож и улучшеный рюкзак",""
"Quest_Adventure_Research_HL_TanneryBig_Notification_ItemFound","Key Discovery: Кора дерева",""
"Quest_Adventure_Research_HL_LinenBig_Name","Производство льняной ткани",""
"Quest_Adventure_Research_HL_LinenBig_Notification_ItemFound","Key Discovery: Льняное волокно",""
"Quest_Adventure_Research_HL_GoldIngot_Name","Производство бижутерии",""
"Quest_Adventure_Research_HL_GoldIngot_Notification_ItemFound","Key Discovery: Золотой слиток",""
"Quest_Adventure_Research_SW_BromeliaBig_Name","Продвинутая алхимия",""
"Quest_Adventure_Research_SW_BromeliaBig_Notification_ItemFound","Key Discovery: Бромелия",""
"Quest_Adventure_Research_SW_CrocTailBig_Name","Апгрейд кухни и еда",""
"Quest_Adventure_Research_SW_CrocTailBig_Notification_ItemFound","Key Discovery: Хвост крокодила",""
"Quest_Adventure_Research_SW_EnchwepBig_Name","Изготовление зачарованного оружия",""
"Quest_Adventure_Research_SW_EnchwepBig_Notification_ItemFound","Key Discovery: Зачарованный слиток",""
"Quest_Adventure_Research_SW_EncharmorBig_Name","Улучшение мастерской брони и вместительный рюкзак",""
"Quest_Adventure_Research_SW_EncharmorBig_Notification_ItemFound","Key Discovery: Кусок шкуры крокодила",""
"Quest_Adventure_Research_SW_TumbagoBig_Name","Продвинутая бижутерия",""
"Quest_Adventure_Research_SW_TumbagoBig_Notification_ItemFound","Key Discovery: Слиток тумбаго",""
"Quest_Adventure_Research_SW_FurnaceBig_Name","Выплавка болотного металла, кузнечные меха и улучшение ювелирного стола",""
"Quest_Adventure_Research_SW_FurnaceBig_Notification_ItemFound","Key Discovery: Кусок металла",""
"Quest_Adventure_Research_SW_UmbraBig_Name","Зачарованные предметы",""
"Quest_Adventure_Research_SW_UmbraBig_Notification_ItemFound","Key Discovery: Эссенция Arborum",""
"Quest_Collection_AllTheFish_Name","Мастер-рыбак",""
"Quest_Collection_AllTheFish_Description","Поймайте всех рыб на архипелаге хотя бы по 1 разу",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_BuildWorkbench","Поставьте Верстак. Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildMode\""/>\r\n , чтобы перейти в режим Стройки, и нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildSelection\""/> для выбора постройки",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_BuildCooking","Разведите Костер для готовки. Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildMode\""/>, чтобы перейти в режим Стройки, и нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildSelection\""/> для выбора постройки",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_BuildUpgrade","Поставьте Стол для улучшений. Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildMode\""/>, чтобы перейти в режим Стройки, и нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildSelection\""/> для выбора постройки",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_BuildHouse","Постройте Палатку. Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildMode\""/>, чтобы перейти в режим Стройки, и нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_BuildSelection\""/> для выбора постройки",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_GetBuff","NOT USED Outdated buff",""
"Quest_SideQuest_CJ_TidyYourselfUp_Hint_UseSavepoint","Нажмите <img width=\""desired\"" height=\""desired\"" id=\""Action_Interact\""/> на Палатке, чтобы установить точку возрождения",""
"Quest_Notes_Buccaneer_Core","Записи буканьеров",""
"Quest_Notes_Robinson_Core","Потерпевший кораблекрушение",""
"Quest_Notes_MainQuest_ScaredPirate_Core","Журнал испуганного пирата",""
"Quest_Notes_ForgottenRelic_MuralStory_Core","История жрицы. Копии фресок",""
"Quest_Notes_SpanishExpedition_Core","Воспоминания призрака",""
"Quest_Notes_JokesOfTheGods_Core","История жреца Ицельтека",""
"Quest_Notes_FateOfTheProphets_Core","Истории звездочетов",""
"Quest_Adventure_Challenge_CJ_Boar_Name","Буканьер-новичок",""
"Quest_Adventure_Challenge_CJ_Dodo_Name","Охота на птиц",""
"Quest_Adventure_Challenge_HL_Goat_Name","Охотник на козлов",""
"Quest_Adventure_Challenge_HL_Wolf_Name","Истребление хищников",""
"Quest_Adventure_Challenge_SW_Croc_Name","Болотный охотник",""
"Quest_Adventure_Challenge_SW_CrocLegend_Name","Легенда болот",""
"Quest_Collection_RitualKnife_Name","Ритуальные ножи изгнанных",""
"Quest_Collection_RitualKnife_Description","Древние ритуальные кинжалы сенкамати: они использовались во время погребений и чествования священных животных – спутников бога смерти.\r\nЭто ценная находка. Стоит поискать все.",""
"Quest_Collection_SenkamatiMask_Name","Древние маски",""
"Quest_Collection_SenkamatiMask_Description","По болотам разбросаны маски жрецов древнего народа. Неплохое начало для коллекции.",""
"Quest_SideQuest_GamescomBuriedRuin_Core_Name","The Mystery of the Old Fort",""
"Quest_SideQuest_GamescomBuriedRuin_Core_Description","I’ve heard there’s an old fort in Ashlands, buried under a layer of volcanic ash along with all the inhabitants and their secrets. I should definitely check it out.",""
"Quest_SideQuest_GamescomBuriedRuin_Core_Result","I'm lucky. There was a real treasure inside.",""
"Quest_SideQuest_GamescomBuriedRuin_Sub0_Goal","Explore the old fort in Ashlands",""
"Quest_SideQuest_GamescomBuriedRuin_Sub0_Description","Something useful might be hidden among the mist and ruins.",""
"Quest_SideQuest_GamescomBuriedRuin_Sub1_Goal","Find the remaining keys",""
